Sample_ID,RNA_Original_concentration,RNA_Dilution_concentration,Cq
2_564,2,2,NA
3_49,2,2,NA
4_61,2,2,NA
3_75,2,2,NA
4_293,3,2,NA
3_64,7,2,NA
3_5,1,2,NA
2_23,3,2,NA
4_94,2,2,NA
3_8,1,2,NA
3_251,5,2,NA
2_66,2,2,NA
4_246,1,2,NA
4_121,2,2,NA
4_99,2,2,NA
3_23,7,2,NA
4_58,3,2,NA
4_70,2,2,NA
2_359,3,2,NA
3_10,3,2,NA
3_350,2,2,NA
4_66,4,2,NA
2_229,3,2,NA
4_126,1,2,NA
4_404,1,2,NA
3_433,2,2,NA
4_127,4,2,NA
4_232,4,2,NA
4_282,1,2,NA
2_36,1,2,NA
3_351,1,2,NA
2_76,3,2,NA
4_86,2,2,NA
2_400,1,2,NA
3_368,2,2,NA
4_237,1,2,NA
3_77,1,2,NA
4_62,3,2,NA
3_406,5,2,NA
4_325,2,2,NA
3_394,3,2,NA
3_40,3,2,NA
2_46,2,2,NA
3_66,3,2,NA
4_168,1,2,NA
3_17,3,2,NA
4_118,1,2,NA
3_55,2,2,NA
4_101,3,2,NA
4_236,2,2,NA
3_500,9,2,NA
4_73,5,2,NA
4_278,2,2,NA
2_19,1,2,NA
2_379,4,2,NA
2_357,4,2,NA
2_227,3,2,NA
3_378,3,2,NA
3_21,5,2,NA
4_123,5,2,NA
3_71,4,2,NA
4_117,6,2,NA
3_358,5,2,NA
4_429,3,2,NA
3_36,2,2,NA
3_370,3,2,NA
2_563,5,2,NA
2_340,2,2,NA
4_109,3,2,NA
3_375,4,2,NA
4_65,6,2,NA
4_239,6,2,NA
4_59,9,2,NA
3_431,1,2,NA
4_97,1,2,NA
4_402,2,2,NA
2_234,2,2,NA
3_34,2,2,NA
2_20,2,2,NA
3_60,1.1,1,NA
3_389,1.8,1,NA
2_137,1.5,1,NA
2_289,0.5,1,NA
2_248,0.7,1,NA
3_113,0.8,1,NA
3_76,0.6,1,NA
4_33,0.8,1,NA
2_276,1.2,1,NA
4_212,0.7,1,NA
2_107,0.5,1,NA
3_364,1.2,1,NA
3_404,1.1,1,NA
3_130,0.8,1,NA
4_204,0.7,1,NA
3_307,1.5,1,NA
4_223,0.6,1,NA
4_218,1.5,1,NA
2_170,0.6,1,NA
4_205,0.7,1,NA
2_402,1.1,1,NA
4_37,0.7,1,NA
3_199,2.7,1,NA
4_25,0.9,1,NA
2_389,1.1,1,NA
2_409,1.1,1,NA
3_290,1.6,1,NA
4_201,1,1,NA
3_422,0.8,1,NA
3_381,0.7,1,NA
3_306,1.2,1,NA
2_168,0.7,1,NA
3_413,1.2,1,NA
2_263,0.7,1,NA
4_22,0.9,1,NA
